./testdata/8.in,1,0.000004,0.000002,0.000052
./testdata/16.in,1,0.000008,0.000004,0.000088
./testdata/32.in,1,0.000021,0.000008,0.000198
./testdata/64.in,1,0.000045,0.000006,0.000545
./testdata/128.in,1,0.000135,0.000013,0.002027
./testdata/256.in,1,0.000455,0.000031,0.007855
./testdata/512.in,1,0.001705,0.000068,0.031214
./testdata/1024.in,1,0.004559,0.000136,0.046240
./testdata/2048.in,1,0.017775,0.000280,0.173057
./testdata/4096.in,1,0.069309,0.000557,0.685282
./testdata/8192.in,1,0.274753,0.001111,2.746258
./testdata/8.in,2,0.000019,0.000017,0.000088
./testdata/16.in,2,0.000022,0.000020,0.000105
./testdata/32.in,2,0.000036,0.000029,0.000207
./testdata/64.in,2,0.000072,0.000051,0.000587
./testdata/128.in,2,0.000184,0.000097,0.003551
./testdata/256.in,2,0.000373,0.000170,0.007866
./testdata/512.in,2,0.001501,0.000653,0.033258
./testdata/1024.in,2,0.003141,0.001211,0.042973
./testdata/2048.in,2,0.011198,0.003533,0.169311
./testdata/4096.in,2,0.042073,0.012024,0.665006
./testdata/8192.in,2,0.162286,0.043761,2.629134
./testdata/8.in,4,0.000022,0.000021,0.000107
./testdata/16.in,4,0.000035,0.000033,0.000282
./testdata/32.in,4,0.000063,0.000058,0.000334
./testdata/64.in,4,0.000120,0.000103,0.001040
./testdata/128.in,4,0.000464,0.000416,0.003935
./testdata/256.in,4,0.000524,0.000371,0.015368
./testdata/512.in,4,0.001372,0.000795,0.056972
./testdata/1024.in,4,0.003762,0.002315,0.085579
./testdata/2048.in,4,0.011746,0.006288,0.323686
./testdata/4096.in,4,0.041511,0.020488,1.332214
./testdata/8192.in,4,0.154018,0.069707,5.303998
